#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00255368 seconds
Distributing the actor graph took: 39.8452 seconds
Added actors in: 0.466686 seconds.
Initialized connections of actors in: 0.0461246 seconds.
Async Migration only
Output number: 1, Rank-13: (1) 0 | (2) 101 | (3)0/100 | (4) 185, 185 | (5) 4.8775 | (6) 65.0569 | (7) 0.000292275 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (127696, 127696) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.8804 | (25) (0.46882, 69-33) | (26) 2224 | (27) -0.67701
Output number: 1, Rank-16: (1) 12 | (2) 1746 | (3)0.687285/100 | (4) 198, 198 | (5) 4.75212 | (6) 66.824 | (7) 0.000268543 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (128546, 128546) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.0014 | (25) (0.50317, 103-66) | (26) 4008 | (27) -0.34942
Output number: 1, Rank-18: (1) 12 | (2) 1746 | (3)0.687285/100 | (4) 197, 197 | (5) 4.91126 | (6) 65.8765 | (7) 0.000314645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (130905, 130905) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.2673 | (25) (0.47477, 106-41) | (26) 64704 | (27) -0.75619
Output number: 1, Rank-19: (1) 0 | (2) 46 | (3)0/100 | (4) 190, 190 | (5) 5.04594 | (6) 65.793 | (7) 0.000300862 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (134323, 134323) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7258 | (25) (0.45351, 131-48) | (26) 66935 | (27) -0.73017
Output number: 1, Rank-23: (1) 8 | (2) 300 | (3)2.66667/100 | (4) 63, 63 | (5) 156.279 | (6) 9.79364 | (7) 0.000116401 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 92.2222/100 | (15) 0 | (17) (63, 63) | (18) X | (19) (51774, 51774) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1935.39 | (25) (34.4248, 143-12) | (26) 17760 | (27) -0.29881
Output number: 1, Rank-24: (1) 8 | (2) 1746 | (3)0.45819/100 | (4) 197, 197 | (5) 5.23175 | (6) 66.6062 | (7) 0.00030863 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (139775, 139775) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.2647 | (25) (0.44942, 120-14) | (26) 42280 | (27) -2.48393
Output number: 1, Rank-27: (1) 8 | (2) 1746 | (3)0.45819/100 | (4) 196, 196 | (5) 5.24179 | (6) 65.4959 | (7) 0.000299727 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (140865, 140865) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.5085 | (25) (0.5132, 128-25) | (26) 44559 | (27) -0.70436
Output number: 1, Rank-0: (1) 16 | (2) 1744 | (3)0.917431/100 | (4) 197, 197 | (5) 4.7475 | (6) 67.7671 | (7) 0.000284562 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (127832, 127832) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.1706 | (25) (0.49086, 74-44) | (26) 4037 | (27) -2.17434
Output number: 1, Rank-3: (1) 42 | (2) 418 | (3)10.0478/100 | (4) 178, 178 | (5) 152.066 | (6) 9.70204 | (7) 0.000117149 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 89.4444/100 | (15) 0 | (17) (178, 178) | (18) X | (19) (135132, 135132) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2267.41 | (25) (33.775, 77-63) | (26) 3238 | (27) -0.64152
Output number: 1, Rank-7: (1) 2 | (2) 1228 | (3)0.162866/100 | (4) 184, 184 | (5) 4.84881 | (6) 64.4775 | (7) 0.000100674 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (130360, 130360) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4315 | (25) (0.44737, 97-6) | (26) 66803 | (27) -0.89341
Output number: 1, Rank-8: (1) 2 | (2) 1285 | (3)0.155642/100 | (4) 187, 187 | (5) 4.90782 | (6) 65.9325 | (7) 4.89e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (131529, 131529) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4261 | (25) (0.41133, 92-12) | (26) 57430 | (27) -0.32371
