#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00171325 seconds
Distributing the actor graph took: 41.3008 seconds
Added actors in: 0.547831 seconds.
Initialized connections of actors in: 0.0463409 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 1 | (2) 1787 | (3)0.0559597/100 | (4) 189, 189 | (5) 3.82197 | (6) 62.7069 | (7) 0.000276046 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (64141, 64141) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 98.7406
Output number: 1, Rank-22: (1) 0 | (2) 1787 | (3)0/100 | (4) 184, 184 | (5) 7.46634 | (6) 61.4756 | (7) 0.00029326 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (61586, 61586) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 255.533
Output number: 1, Rank-26: (1) 0 | (2) 1772 | (3)0/100 | (4) 186, 186 | (5) 15.4228 | (6) 58.7676 | (7) 0.000271748 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (62079, 62079) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 522.122
Output number: 1, Rank-2: (1) 0 | (2) 1788 | (3)0/100 | (4) 184, 184 | (5) 2.26016 | (6) 66.4001 | (7) 0.000280484 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (58602, 58602) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.3789
Output number: 1, Rank-13: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.32158 | (6) 64.3335 | (7) 0.000151847 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (59180, 59180) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3425
Output number: 1, Rank-14: (1) 0 | (2) 1788 | (3)0/100 | (4) 180, 180 | (5) 2.36188 | (6) 63.874 | (7) 0.000287037 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (61785, 61785) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.4712
Output number: 1, Rank-15: (1) 0 | (2) 1787 | (3)0/100 | (4) 190, 190 | (5) 2.48989 | (6) 63.5964 | (7) 0.00014946 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (62760, 62760) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0486
Output number: 1, Rank-16: (1) 0 | (2) 1786 | (3)0/100 | (4) 186, 186 | (5) 2.30264 | (6) 64.2953 | (7) 5.4104e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (58926, 58926) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7337
Output number: 1, Rank-17: (1) 0 | (2) 1788 | (3)0/100 | (4) 184, 184 | (5) 2.51528 | (6) 63.3751 | (7) 0.000117307 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (63602, 63602) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.5213
Output number: 1, Rank-18: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.35539 | (6) 64.3188 | (7) 0.000126154 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (61058, 61058) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.8044
Output number: 1, Rank-19: (1) 0 | (2) 1787 | (3)0/100 | (4) 190, 190 | (5) 2.60407 | (6) 63.3682 | (7) 0.000142482 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (66300, 66300) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.1961
