#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000847394 seconds
Distributing the actor graph took: 41.7045 seconds
Added actors in: 1.75164 seconds.
Initialized connections of actors in: 0.049009 seconds.
Output number: 1, Rank-3: (1) 0 | (2) 0 | (3)0/100 | (4) 819, 819 | (5) 44.7091 | (6) 29.8241 | (7) 0.000491957 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (819, 819) | (18) X | (19) (197824, 197824) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1763.51
Output number: 1, Rank-6: (1) 369 | (2) 369 | (3)100/100 | (4) 374, 374 | (5) 70.6523 | (6) 34.248 | (7) 0.000552279 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 57.7778/100 | (15) 0 | (17) (374, 374) | (18) X | (19) (119887, 119887) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1637.16
Output number: 1, Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 756, 756 | (5) 8.46118 | (6) 51.5599 | (7) 0.000182581 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.3333/100 | (15) 0 | (17) (756, 756) | (18) X | (19) (173429, 173429) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 412.441
Output number: 1, Rank-18: (1) 0 | (2) 0 | (3)0/100 | (4) 1011, 1011 | (5) 36.3108 | (6) 34.7702 | (7) 3.3762e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (1011, 1011) | (18) X | (19) (236581, 236581) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1791.81
Output number: 1, Rank-19: (1) 41 | (2) 41 | (3)100/100 | (4) 786, 786 | (5) 37.7659 | (6) 40.356 | (7) 0.000531805 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 43.3333/100 | (15) 0 | (17) (786, 786) | (18) X | (19) (190234, 190234) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1685.62
Output number: 1, Rank-20: (1) 608 | (2) 608 | (3)100/100 | (4) 136, 136 | (5) 79.6666 | (6) 34.4417 | (7) 0.000101688 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (136, 136) | (18) X | (19) (71038, 71038) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1772.73
Output number: 1, Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 971, 971 | (5) 28.0836 | (6) 36.5655 | (7) 0.000582457 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 35.5556/100 | (15) 0 | (17) (971, 971) | (18) X | (19) (200943, 200943) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1923.91
Output number: 1, Rank-13: (1) 6 | (2) 6 | (3)100/100 | (4) 902, 902 | (5) 31.7687 | (6) 35.737 | (7) 0.000115242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (902, 902) | (18) X | (19) (219062, 219062) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1333.12
Output number: 1, Rank-17: (1) 22 | (2) 22 | (3)100/100 | (4) 985, 985 | (5) 35.0244 | (6) 36.2463 | (7) 0.000170317 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (215321, 215321) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1692.36
Output number: 1, Rank-23: (1) 0 | (2) 0 | (3)0/100 | (4) 757, 757 | (5) 82.6857 | (6) 24.7403 | (7) 0.00052907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 59.4444/100 | (15) 0 | (17) (757, 757) | (18) X | (19) (159785, 159785) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4026.2
Output number: 1, Rank-10: (1) 615 | (2) 615 | (3)100/100 | (4) 144, 144 | (5) 77.3608 | (6) 35.0856 | (7) 2.6234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 62.2222/100 | (15) 0 | (17) (144, 144) | (18) X | (19) (77146, 77146) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1616.18
