#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.296193 seconds
Distributing the actor graph took: 2.47977 seconds
Added actors in: 0.0491729 seconds.
Initialized connections of actors in: 0.0177695 seconds.
Async Migration only
Rank-19: (1) 21 | (2) 1530 | (3)1.37255/100 | (4) 2 | (5) 77.5744 | (6) 20.6759 | (7) 0.000137653 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-20: (1) 30 | (2) 1534 | (3)1.95567/100 | (4) 2 | (5) 76.9322 | (6) 22.2756 | (7) 0.000126351 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 57.5581/100| (15)0 | (16) 1
Rank-21: (1) 18 | (2) 1535 | (3)1.17264/100 | (4) 2 | (5) 76.1078 | (6) 20.7961 | (7) 2.8011e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-22: (1) 23 | (2) 1510 | (3)1.52318/100 | (4) 2 | (5) 74.0357 | (6) 20.7429 | (7) 5.6765e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 54.6512/100| (15)0 | (16) 1
Rank-23: (1) 26 | (2) 1471 | (3)1.76751/100 | (4) 2 | (5) 81.128 | (6) 15.7709 | (7) 4.8471e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-24: (1) 21 | (2) 1513 | (3)1.38797/100 | (4) 2 | (5) 78.3643 | (6) 20.9981 | (7) 7.2868e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 57.5581/100| (15)0 | (16) 1
Rank-25: (1) 20 | (2) 1550 | (3)1.29032/100 | (4) 2 | (5) 76.7619 | (6) 22.2265 | (7) 6.3091e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-26: (1) 15 | (2) 1550 | (3)0.967742/100 | (4) 2 | (5) 76.4671 | (6) 21.7865 | (7) 8.4108e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-27: (1) 13 | (2) 1541 | (3)0.843608/100 | (4) 2 | (5) 76.0051 | (6) 21.4666 | (7) 0.000132044 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.3953/100| (15)0 | (16) 1
Rank-1: (1) 20 | (2) 1552 | (3)1.28866/100 | (4) 2 | (5) 75.943 | (6) 23.4269 | (7) 1.7516e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 57.5581/100| (15)0 | (16) 1
Rank-2: (1) 14 | (2) 1528 | (3)0.91623/100 | (4) 2 | (5) 74.5678 | (6) 19.7704 | (7) 4.0739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 54.6512/100| (15)0 | (16) 1
