#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00380244 seconds
Distributing the actor graph took: 2.24402 seconds
Added actors in: 0.0623274 seconds.
Initialized connections of actors in: 0.0118095 seconds.
Async Migration only
Output number: 1, Rank-14: (1) 63 | (2) 1097 | (3)5.74294/100 | (4) 8, 8 | (5) 98.169 | (6) 2.98435 | (7) 0.000100866 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28641, 28641) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 338.432
Output number: 1, Rank-16: (1) 56 | (2) 1294 | (3)4.32767/100 | (4) 7, 7 | (5) 94.3784 | (6) 8.46144 | (7) 0.000143695 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (27702, 27702) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 286.898
Output number: 1, Rank-19: (1) 42 | (2) 1251 | (3)3.35731/100 | (4) 7, 7 | (5) 95.8613 | (6) 5.85617 | (7) 4.2287e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (28030, 28030) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 297.882
Output number: 1, Rank-26: (1) 65 | (2) 1049 | (3)6.19638/100 | (4) 8, 8 | (5) 97.9353 | (6) 2.83044 | (7) 3.7797e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28600, 28600) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 334.49
Output number: 1, Rank-1: (1) 61 | (2) 1275 | (3)4.78431/100 | (4) 7, 7 | (5) 95.4322 | (6) 6.27513 | (7) 0.000114297 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (28216, 28216) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.882
Output number: 1, Rank-7: (1) 60 | (2) 1184 | (3)5.06757/100 | (4) 7, 7 | (5) 97.5314 | (6) 4.07361 | (7) 7.1528e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (28438, 28438) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 296.667
Output number: 1, Rank-8: (1) 51 | (2) 1329 | (3)3.83747/100 | (4) 7, 7 | (5) 93.661 | (6) 8.95033 | (7) 0.000124244 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (27448, 27448) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 300.97
Output number: 1, Rank-2: (1) 65 | (2) 1165 | (3)5.5794/100 | (4) 8, 8 | (5) 97.626 | (6) 3.64838 | (7) 2.3626e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28774, 28774) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 325.9
Output number: 1, Rank-22: (1) 62 | (2) 1226 | (3)5.0571/100 | (4) 9, 9 | (5) 96.6694 | (6) 4.68831 | (7) 3.1885e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28501, 28501) | (20) 0 | (21) 1 | (22) 0 | (23) 2 | (24) 370.547
Output number: 1, Rank-62: (1) 81 | (2) 1420 | (3)5.70423/100 | (4) 27, 27 | (5) 165.608 | (6) 7.06648 | (7) 5.9028e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (50125, 50125) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 894.798
Output number: 1, Rank-45: (1) 88 | (2) 1388 | (3)6.34006/100 | (4) 26, 26 | (5) 164.761 | (6) 7.38335 | (7) 9.737e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (49391, 49391) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 866.985
Output number: 1, Rank-166: (1) 58 | (2) 1496 | (3)3.87701/100 | (4) 24, 24 | (5) 152.904 | (6) 12.3865 | (7) 5.1855e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 91.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (46034, 46034) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 796.478
Output number: 1, Rank-134: (1) 50 | (2) 1517 | (3)3.29598/100 | (4) 26, 26 | (5) 158.482 | (6) 10.0709 | (7) 0.000103013 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.3333/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48151, 48151) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 857.441
Output number: 1, Rank-81: (1) 54 | (2) 1440 | (3)3.75/100 | (4) 25, 25 | (5) 163.805 | (6) 7.76488 | (7) 3.9249e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49793, 49793) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 821.715
Output number: 1, Rank-21: (1) 66 | (2) 1179 | (3)5.59796/100 | (4) 9, 9 | (5) 97.4093 | (6) 3.79001 | (7) 9.462e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 56.1111/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (28434, 28434) | (20) 1 | (21) 1 | (22) 0 | (23) 9 | (24) 379.334
Output number: 1, Rank-12: (1) 70 | (2) 1159 | (3)6.03969/100 | (4) 8, 8 | (5) 97.8569 | (6) 3.80131 | (7) 0.000110573 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28949, 28949) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 339.879
Output number: 1, Rank-0: (1) 79 | (2) 1103 | (3)7.16228/100 | (4) 8, 8 | (5) 98.1883 | (6) 3.16728 | (7) 0.000126896 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28711, 28711) | (20) 0 | (21) 1 | (22) 0 | (23) 2 | (24) 334.726
Output number: 1, Rank-47: (1) 79 | (2) 1403 | (3)5.63079/100 | (4) 24, 24 | (5) 164.139 | (6) 7.61025 | (7) 4.7574e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (49151, 49151) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 800.912
Output number: 1, Rank-114: (1) 79 | (2) 1401 | (3)5.63883/100 | (4) 25, 25 | (5) 164.496 | (6) 7.52695 | (7) 0.000125832 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49870, 49870) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 824.425
Output number: 1, Rank-101: (1) 66 | (2) 1442 | (3)4.57698/100 | (4) 26, 26 | (5) 161.604 | (6) 8.77176 | (7) 3.8438e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48776, 48776) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 861.819
Output number: 1, Rank-58: (1) 73 | (2) 1459 | (3)5.00343/100 | (4) 26, 26 | (5) 161.792 | (6) 8.67769 | (7) 0.000118198 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48931, 48931) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 863.365
Output number: 1, Rank-184: (1) 60 | (2) 1429 | (3)4.19874/100 | (4) 23, 23 | (5) 165.505 | (6) 7.02406 | (7) 9.7824e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49576, 49576) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 769.295
Output number: 1, Rank-159: (1) 69 | (2) 1362 | (3)5.06608/100 | (4) 26, 26 | (5) 166.217 | (6) 6.86719 | (7) 8.2582e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (46929, 46929) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 921.136
Output number: 1, Rank-196: (1) 70 | (2) 1401 | (3)4.99643/100 | (4) 25, 25 | (5) 163.521 | (6) 7.93104 | (7) 5.9457e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49465, 49465) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 824.449
Output number: 1, Rank-27: (1) 49 | (2) 1166 | (3)4.2024/100 | (4) 8, 8 | (5) 97.4756 | (6) 3.82232 | (7) 7.0648e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28858, 28858) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 332.445
Output number: 1, Rank-36: (1) 68 | (2) 1434 | (3)4.74198/100 | (4) 27, 27 | (5) 163.787 | (6) 7.68938 | (7) 0.000107499 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48978, 48978) | (20) 1 | (21) 1 | (22) 0 | (23) 6 | (24) 902.033
Output number: 1, Rank-119: (1) 66 | (2) 1424 | (3)4.63483/100 | (4) 26, 26 | (5) 164.237 | (6) 7.65192 | (7) 2.1422e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (49759, 49759) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 857.298
Output number: 1, Rank-88: (1) 77 | (2) 1377 | (3)5.59187/100 | (4) 27, 27 | (5) 165.4 | (6) 7.07737 | (7) 0.000102095 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (49593, 49593) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 897.114
Output number: 1, Rank-69: (1) 52 | (2) 1479 | (3)3.51589/100 | (4) 26, 26 | (5) 161.309 | (6) 8.76827 | (7) 0.000124674 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 94.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48235, 48235) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 868.156
