#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0186967 seconds
Distributing the actor graph took: 2.41308 seconds
Added actors in: 0.0653138 seconds.
Initialized connections of actors in: 0.0115548 seconds.
Async Migration only
Output number: 1, Rank-5: (1) 0 | (2) 1588 | (3)0/100 | (4) 6, 6 | (5) 92.8173 | (6) 6.70975 | (7) 7.1539e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27532, 27532) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 245.139
Output number: 1, Rank-6: (1) 0 | (2) 1567 | (3)0/100 | (4) 5, 5 | (5) 77.2904 | (6) 21.5315 | (7) 8.3105e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22955, 22955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.821
Output number: 1, Rank-10: (1) 0 | (2) 1610 | (3)0/100 | (4) 6, 6 | (5) 93.1165 | (6) 7.06274 | (7) 0.0001508 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27513, 27513) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 245.96
Output number: 1, Rank-11: (1) 0 | (2) 1661 | (3)0/100 | (4) 5, 5 | (5) 76.9893 | (6) 22.5218 | (7) 5.7895e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22922, 22922) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.582
Output number: 1, Rank-16: (1) 0 | (2) 1536 | (3)0/100 | (4) 6, 6 | (5) 93.9357 | (6) 5.52969 | (7) 0.000147794 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27502, 27502) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 241.849
Output number: 1, Rank-18: (1) 0 | (2) 1649 | (3)0/100 | (4) 5, 5 | (5) 77.2074 | (6) 21.6978 | (7) 5.2103e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22929, 22929) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 200.447
Output number: 1, Rank-23: (1) 0 | (2) 1610 | (3)0/100 | (4) 6, 6 | (5) 92.6428 | (6) 7.48606 | (7) 8.2719e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27484, 27484) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 244.066
Output number: 1, Rank-25: (1) 0 | (2) 1575 | (3)0/100 | (4) 6, 6 | (5) 92.5292 | (6) 7.71367 | (7) 0.000141974 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27492, 27492) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 243.132
Output number: 1, Rank-26: (1) 0 | (2) 1565 | (3)0/100 | (4) 6, 6 | (5) 92.8802 | (6) 6.8246 | (7) 5.6017e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27482, 27482) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 244.3
Output number: 1, Rank-15: (1) 0 | (2) 1504 | (3)0/100 | (4) 6, 6 | (5) 95.9053 | (6) 4.05495 | (7) 5.9041e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27522, 27522) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 249.856
Output number: 1, Rank-101: (1) 0 | (2) 1601 | (3)0/100 | (4) 6, 6 | (5) 93.7804 | (6) 5.59786 | (7) 4.8006e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27583, 27583) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 249.207
