#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-random-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00324422 seconds
Distributing the actor graph took: 2.27695 seconds
Added actors in: 0.0652677 seconds.
Initialized connections of actors in: 0.0115587 seconds.
Async Migration only
Output number: 1, Rank-19: (1) 158 | (2) 1010 | (3)15.6436/100 | (4) 20, 20 | (5) 97.1066 | (6) 3.44883 | (7) 7.3491e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (28309, 28309) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 835.231 | (25) (43.1395, 11-8) | (26) 27404
Output number: 1, Rank-8: (1) 118 | (2) 1030 | (3)11.4563/100 | (4) 20, 20 | (5) 97.0548 | (6) 3.04007 | (7) 7.4864e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (28609, 28609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 812.099 | (25) (42.3941, 26-14) | (26) 4401
Output number: 1, Rank-24: (1) 139 | (2) 1004 | (3)13.8446/100 | (4) 22, 22 | (5) 97.2273 | (6) 3.14242 | (7) 0.000119165 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (28604, 28604) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 874.831 | (25) (42.4439, 16-15) | (26) 1
Output number: 1, Rank-48: (1) 50 | (2) 1612 | (3)3.10174/100 | (4) 24, 24 | (5) 96.3161 | (6) 38.3364 | (7) 0.000116283 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (29178, 29178) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 789.5 | (25) (33.0987, 29-29) | (26) 5964
Output number: 1, Rank-158: (1) 55 | (2) 1533 | (3)3.58774/100 | (4) 23, 23 | (5) 98.7563 | (6) 38.0151 | (7) 0.000112117 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (29741, 29741) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 761.302 | (25) (33.7595, 11-66) | (26) 61010
Output number: 1, Rank-74: (1) 44 | (2) 1586 | (3)2.77427/100 | (4) 24, 24 | (5) 99.4198 | (6) 36.9208 | (7) 4.8006e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (30145, 30145) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 791.117 | (25) (33.7788, 50-30) | (26) 24816
Output number: 1, Rank-93: (1) 43 | (2) 1578 | (3)2.72497/100 | (4) 23, 23 | (5) 97.6702 | (6) 38.3464 | (7) 3.1515e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (29674, 29674) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 753.689 | (25) (33.0355, 56-9) | (26) 62043
Output number: 1, Rank-53: (1) 47 | (2) 1577 | (3)2.98034/100 | (4) 26, 26 | (5) 97.6047 | (6) 38.7775 | (7) 0.000113898 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (29416, 29416) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 855.455 | (25) (33.1906, 24-26) | (26) 28625
Output number: 1, Rank-75: (1) 41 | (2) 1589 | (3)2.58024/100 | (4) 22, 22 | (5) 98.0442 | (6) 39.8429 | (7) 1.319e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (28526, 28526) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 752.481 | (25) (34.852, 48-28) | (26) 136358
Output number: 1, Rank-54: (1) 58 | (2) 1561 | (3)3.71557/100 | (4) 25, 25 | (5) 96.3399 | (6) 38.7758 | (7) 0.000127771 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (28955, 28955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 827.329 | (25) (33.6754, 23-21) | (26) 4321
Output number: 1, Rank-79: (1) 49 | (2) 1569 | (3)3.12301/100 | (4) 21, 21 | (5) 93.1304 | (6) 40.3883 | (7) 1.2139e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28260, 28260) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 691.42 | (25) (33.7284, 40-32) | (26) 1198
Output number: 1, Rank-191: (1) 46 | (2) 1548 | (3)2.97158/100 | (4) 23, 23 | (5) 101.593 | (6) 36.1264 | (7) 3.0385e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (29623, 29623) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 785.422 | (25) (34.4149, 45-56) | (26) 56518
Output number: 1, Rank-94: (1) 47 | (2) 1585 | (3)2.9653/100 | (4) 21, 21 | (5) 95.4345 | (6) 39.316 | (7) 6.9383e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28622, 28622) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 697.199 | (25) (33.8142, 67-13) | (26) 14749
Output number: 1, Rank-205: (1) 70 | (2) 1527 | (3)4.58415/100 | (4) 21, 21 | (5) 95.7441 | (6) 38.9918 | (7) 0.000111655 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28958, 28958) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 690.233 | (25) (33.3285, 33-46) | (26) 39152
Output number: 1, Rank-55: (1) 58 | (2) 1583 | (3)3.66393/100 | (4) 25, 25 | (5) 96.5405 | (6) 38.6955 | (7) 7.7593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (29026, 29026) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 828.421 | (25) (33.3296, 22-20) | (26) 18317
Output number: 1, Rank-25: (1) 142 | (2) 1068 | (3)13.2959/100 | (4) 21, 21 | (5) 96.983 | (6) 4.21256 | (7) 7.5595e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 56.1111/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28669, 28669) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 882.089 | (25) (43.71, 4-18) | (26) 1
Output number: 1, Rank-1: (1) 140 | (2) 1035 | (3)13.5266/100 | (4) 24, 24 | (5) 96.1352 | (6) 3.69844 | (7) 9.3691e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (28042, 28042) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 1033.82 | (25) (43.919, 20-5) | (26) 1
Output number: 1, Rank-3: (1) 129 | (2) 1060 | (3)12.1698/100 | (4) 23, 23 | (5) 97.4201 | (6) 3.22482 | (7) 7.7737e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28462, 28462) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 971.068 | (25) (43.2773, 24-2) | (26) 1
Output number: 1, Rank-4: (1) 102 | (2) 1169 | (3)8.72541/100 | (4) 17, 17 | (5) 96.3432 | (6) 5.0787 | (7) 7.6279e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.1111/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (28155, 28155) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 699.229 | (25) (42.7452, 34-8) | (26) 1
Output number: 1, Rank-12: (1) 152 | (2) 975 | (3)15.5897/100 | (4) 22, 22 | (5) 97.0015 | (6) 2.9325 | (7) 0.000103997 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (28417, 28417) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 929.402 | (25) (43.2458, 18-9) | (26) 1
Output number: 1, Rank-0: (1) 155 | (2) 981 | (3)15.8002/100 | (4) 21, 21 | (5) 96.8067 | (6) 2.95973 | (7) 0.000116795 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28574, 28574) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 883.465 | (25) (43.456, 20-1) | (26) 1
Output number: 1, Rank-159: (1) 48 | (2) 1565 | (3)3.06709/100 | (4) 21, 21 | (5) 92.8629 | (6) 41.6964 | (7) 7.8715e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28274, 28274) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 688.735 | (25) (34.7234, 16-68) | (26) 2965
Output number: 1, Rank-81: (1) 48 | (2) 1576 | (3)3.04569/100 | (4) 21, 21 | (5) 95.3916 | (6) 39.3512 | (7) 7.2362e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28672, 28672) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 696.536 | (25) (33.4984, 49-31) | (26) 41532
Output number: 1, Rank-192: (1) 75 | (2) 1553 | (3)4.82936/100 | (4) 22, 22 | (5) 98.5227 | (6) 38.1816 | (7) 8.902e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (29834, 29834) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 722.631 | (25) (33.378, 42-64) | (26) 5016
Output number: 1, Rank-131: (1) 63 | (2) 1524 | (3)4.13386/100 | (4) 22, 22 | (5) 96.7665 | (6) 38.6744 | (7) 9.002e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (29075, 29075) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 729.425 | (25) (34.1863, 18-52) | (26) 68626
Output number: 1, Rank-95: (1) 41 | (2) 1595 | (3)2.57053/100 | (4) 23, 23 | (5) 97.0931 | (6) 38.7616 | (7) 5.1422e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (29173, 29173) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 762.771 | (25) (33.614, 63-8) | (26) 71361
