#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-offload-local-single-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00163153 seconds
Distributing the actor graph took: 2.22721 seconds
Added actors in: 0.146208 seconds.
Initialized connections of actors in: 0.0116424 seconds.
Output number: 1, Rank-23: (1) 93 | (2) 93 | (3)100/100 | (4) 64, 64 | (5) 164.757 | (6) 6.19733 | (7) 5.4147e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (64, 64) | (18) X | (19) (50033, 50033) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 2097.55
Output number: 1, Rank-1: (1) 124 | (2) 124 | (3)100/100 | (4) 20, 20 | (5) 98.9786 | (6) 1.70875 | (7) 0.000157532 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (28874, 28874) | (20) 1 | (21) 0 | (22) 0 | (23) 18 | (24) 837.127
Output number: 1, Rank-9: (1) 100 | (2) 100 | (3)100/100 | (4) 19, 19 | (5) 97.9562 | (6) 2.6922 | (7) 7.506e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (28997, 28997) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 797.865
Output number: 1, Rank-66: (1) 34 | (2) 34 | (3)100/100 | (4) 48, 48 | (5) 138.127 | (6) 17.1614 | (7) 0.000120471 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (41990, 41990) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1574.57
Output number: 1, Rank-49: (1) 45 | (2) 45 | (3)100/100 | (4) 53, 53 | (5) 139.821 | (6) 16.307 | (7) 8.3826e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (42501, 42501) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1741.09
Output number: 1, Rank-111: (1) 59 | (2) 59 | (3)100/100 | (4) 46, 46 | (5) 137.528 | (6) 17.5257 | (7) 0.000103031 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (41309, 41309) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1527.53
Output number: 1, Rank-67: (1) 43 | (2) 43 | (3)100/100 | (4) 45, 45 | (5) 134.553 | (6) 18.83 | (7) 2.9495e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (40401, 40401) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1493.52
Output number: 1, Rank-54: (1) 40 | (2) 40 | (3)100/100 | (4) 47, 47 | (5) 131.395 | (6) 19.6942 | (7) 5.0406e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (40043, 40043) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1544.98
Output number: 1, Rank-84: (1) 53 | (2) 53 | (3)100/100 | (4) 43, 43 | (5) 140.295 | (6) 16.2674 | (7) 0.000105215 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (42479, 42479) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1415.98
Output number: 1, Rank-72: (1) 41 | (2) 41 | (3)100/100 | (4) 42, 42 | (5) 136.539 | (6) 18.0502 | (7) 5.4387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85.5556/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (38540, 38540) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1497.14
Output number: 1, Rank-35: (1) 81 | (2) 81 | (3)100/100 | (4) 61, 61 | (5) 157.558 | (6) 9.26423 | (7) 0.000103237 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 92.2222/100 | (15) 0 | (17) (61, 61) | (18) X | (19) (47987, 47987) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1993.24
