#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-static-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00179193 seconds
Distributing the actor graph took: 2.2406 seconds
Added actors in: 0.117444 seconds.
Initialized connections of actors in: 0.0112707 seconds.
No Migration
Output number: 1, Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 96.0626 | (6) 3.98042 | (7) 2.2579e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (28469, 28469) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1847.02
Output number: 1, Rank-7: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 95.1622 | (6) 4.47059 | (7) 1.6882e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (27995, 27995) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1857.29
Output number: 1, Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 98.5495 | (6) 2.30389 | (7) 1.2768e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29265, 29265) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1914.48
Output number: 1, Rank-10: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.9982 | (6) 0.509721 | (7) 1.6152e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29313, 29313) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1994.68
Output number: 1, Rank-13: (1) 0 | (2) 0 | (3)0/100 | (4) 44, 44 | (5) 93.248 | (6) 7.01496 | (7) 1.7572e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (27618, 27618) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1824.18
Output number: 1, Rank-16: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 97.0906 | (6) 38.3306 | (7) 1.2729e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29525, 29525) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1538.49
Output number: 1, Rank-18: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 98.5386 | (6) 37.6329 | (7) 1.6526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29650, 29650) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1555.13
Output number: 1, Rank-19: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.63 | (6) 37.1276 | (7) 1.2993e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30388, 30388) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1549.08
Output number: 1, Rank-20: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.512 | (6) 36.6456 | (7) 1.8114e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30192, 30192) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1552.6
Output number: 1, Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 101.618 | (6) 39.2918 | (7) 1.8442e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30972, 30972) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1533.81
Output number: 1, Rank-24: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.8819 | (6) 36.9324 | (7) 1.6737e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30374, 30374) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1539.31
