#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-random-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00346747 seconds
Distributing the actor graph took: 2.32179 seconds
Added actors in: 0.0626771 seconds.
Initialized connections of actors in: 0.011594 seconds.
Async Migration only
Output number: 1, Rank-22: (1) 0 | (2) 1665 | (3)0/100 | (4) 23, 23 | (5) 166.516 | (6) 6.29228 | (7) 0.000113871 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50759, 50759) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 753.596
Output number: 1, Rank-7: (1) 0 | (2) 1592 | (3)0/100 | (4) 24, 24 | (5) 175.49 | (6) 2.25994 | (7) 7.4687e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52832, 52832) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 796.295
Output number: 1, Rank-9: (1) 0 | (2) 1653 | (3)0/100 | (4) 23, 23 | (5) 166.517 | (6) 6.36544 | (7) 6.2663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50487, 50487) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 758.189
Output number: 1, Rank-30: (1) 2 | (2) 1234 | (3)0.162075/100 | (4) 23, 23 | (5) 177.585 | (6) 1.31489 | (7) 0.000107388 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50450, 50450) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 808.941
Output number: 1, Rank-161: (1) 1 | (2) 1641 | (3)0.0609385/100 | (4) 23, 23 | (5) 163.386 | (6) 7.76602 | (7) 7.1972e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49804, 49804) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 748.473
Output number: 1, Rank-201: (1) 0 | (2) 1654 | (3)0/100 | (4) 23, 23 | (5) 167.451 | (6) 5.92019 | (7) 5.4257e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50479, 50479) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 761.737
Output number: 1, Rank-44: (1) 0 | (2) 1655 | (3)0/100 | (4) 23, 23 | (5) 166.918 | (6) 6.20583 | (7) 5.7759e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50675, 50675) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 756.098
Output number: 1, Rank-88: (1) 0 | (2) 1655 | (3)0/100 | (4) 23, 23 | (5) 168.113 | (6) 5.75959 | (7) 4.6337e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51029, 51029) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 756.291
Output number: 1, Rank-165: (1) 0 | (2) 1648 | (3)0/100 | (4) 23, 23 | (5) 167.449 | (6) 5.79503 | (7) 4.594e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50888, 50888) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 756.594
Output number: 1, Rank-78: (1) 0 | (2) 1653 | (3)0/100 | (4) 23, 23 | (5) 165.673 | (6) 6.68567 | (7) 0.00014993 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50381, 50381) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.042
Output number: 1, Rank-206: (1) 0 | (2) 1686 | (3)0/100 | (4) 23, 23 | (5) 165.005 | (6) 7.02048 | (7) 6.7146e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50281, 50281) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 753.521
